NO. 1	(1,3,1,13,20)
NO. 2	(0,4,1,14,21)
NO. 3	(0,4,1,14,21)
NO. 4	(0,3,1,14,22)
NO. 5	(1,3,1,13,21)
NO. 6	(0,4,1,14,22)
NO. 7	(0,4,1,15,22)
NO. 8	(0,3,1,14,23)
NO. 9	(1,2,1,14,21)
NO. 10	(0,3,1,15,22)
NO. 11	(0,3,1,15,22)
NO. 12	(0,2,1,15,23)
NO. 13	(1,2,1,14,22)
NO. 14	(0,3,1,16,23)
NO. 15	(0,3,1,16,23)
NO. 16	(0,2,1,16,24)
NO. 17	(1,2,1,14,21)
NO. 18	(0,3,1,15,22)
NO. 19	(0,3,1,15,22)
NO. 20	(0,2,1,15,23)
NO. 21	(1,2,1,14,22)
NO. 22	(0,3,1,16,23)
NO. 23	(0,3,1,16,23)
NO. 24	(0,2,1,16,24)
NO. 25	(1,2,1,12,22)
NO. 26	(0,3,1,14,23)
NO. 27	(0,3,1,13,23)
NO. 28	(0,2,1,14,24)
NO. 29	(1,2,1,13,23)
NO. 30	(0,3,1,15,24)
NO. 31	(0,3,1,15,24)
NO. 32	(0,2,1,15,25)
NO. 33	(1,2,1,12,21)
NO. 34	(0,3,1,14,22)
NO. 35	(0,3,1,14,22)
NO. 36	(0,2,1,13,23)
NO. 37	(1,2,1,13,22)
NO. 38	(0,3,1,14,23)
NO. 39	(0,3,1,15,23)
NO. 40	(0,2,1,15,24)
NO. 41	(1,2,1,13,22)
NO. 42	(0,3,1,15,23)
NO. 43	(0,3,1,15,23)
NO. 44	(0,2,1,14,24)
NO. 45	(1,2,1,15,23)
NO. 46	(0,3,1,15,24)
NO. 47	(0,3,1,16,24)
NO. 48	(0,2,1,15,25)
NO. 49	(1,2,1,13,22)
NO. 50	(0,3,1,15,23)
NO. 51	(0,3,1,15,23)
NO. 52	(0,2,1,14,24)
NO. 53	(1,2,1,15,23)
NO. 54	(0,3,1,15,24)
NO. 55	(0,3,1,16,24)
NO. 56	(0,2,1,15,25)
NO. 57	(1,2,1,11,23)
NO. 58	(0,3,1,14,24)
NO. 59	(0,3,1,12,24)
NO. 60	(0,2,1,13,25)
NO. 61	(1,2,1,13,24)
NO. 62	(0,3,1,14,25)
NO. 63	(0,3,1,14,25)
NO. 64	(0,2,1,14,26)
NO. 65	(1,2,1,13,21)
NO. 66	(0,3,1,14,22)
NO. 67	(0,3,1,15,22)
NO. 68	(0,2,1,15,23)
NO. 69	(1,2,1,13,22)
NO. 70	(0,3,1,14,23)
NO. 71	(0,3,1,15,23)
NO. 72	(0,2,1,14,24)
NO. 73	(1,2,1,15,22)
NO. 74	(0,3,1,16,23)
NO. 75	(0,3,1,16,23)
NO. 76	(0,2,1,16,24)
NO. 77	(1,2,1,16,23)
NO. 78	(0,3,1,17,24)
NO. 79	(0,3,1,16,24)
NO. 80	(0,2,1,16,25)
NO. 81	(1,2,1,15,22)
NO. 82	(0,3,1,16,23)
NO. 83	(0,3,1,16,23)
NO. 84	(0,2,1,16,24)
NO. 85	(1,2,1,16,23)
NO. 86	(0,3,1,17,24)
NO. 87	(0,3,1,16,24)
NO. 88	(0,2,1,16,25)
NO. 89	(1,2,1,13,23)
NO. 90	(0,3,1,15,24)
NO. 91	(0,3,1,14,24)
NO. 92	(0,2,1,15,25)
NO. 93	(1,2,1,14,24)
NO. 94	(0,3,1,15,25)
NO. 95	(0,3,1,15,25)
NO. 96	(0,2,1,15,26)
NO. 97	(1,2,1,13,22)
NO. 98	(0,3,1,14,23)
NO. 99	(0,3,1,14,23)
NO. 100	(0,2,1,14,24)
NO. 101	(1,2,1,14,23)
NO. 102	(0,3,1,14,24)
NO. 103	(0,3,1,15,24)
NO. 104	(0,2,1,14,25)
NO. 105	(1,2,1,14,23)
NO. 106	(0,3,1,15,24)
NO. 107	(0,3,1,15,24)
NO. 108	(0,2,1,15,25)
NO. 109	(1,2,1,15,24)
NO. 110	(0,3,1,15,25)
NO. 111	(0,3,1,16,25)
NO. 112	(0,2,1,15,26)
NO. 113	(1,2,1,14,23)
NO. 114	(0,3,1,15,24)
NO. 115	(0,3,1,15,24)
NO. 116	(0,2,1,15,25)
NO. 117	(1,2,1,15,24)
NO. 118	(0,3,1,15,25)
NO. 119	(0,3,1,16,25)
NO. 120	(0,2,1,15,26)
NO. 121	(1,2,1,12,24)
NO. 122	(0,3,1,14,25)
NO. 123	(0,3,1,13,25)
NO. 124	(0,2,1,14,26)
NO. 125	(1,2,1,14,25)
NO. 126	(0,3,1,14,26)
NO. 127	(0,3,1,15,26)
NO. 128	(0,2,1,14,27)
NO. 129	(1,2,1,14,21)
NO. 130	(0,3,1,15,22)
NO. 131	(0,3,1,15,22)
NO. 132	(0,2,1,14,23)
NO. 133	(1,2,1,14,22)
NO. 134	(0,3,1,15,23)
NO. 135	(0,3,1,15,23)
NO. 136	(0,2,1,14,24)
NO. 137	(1,1,1,15,22)
NO. 138	(0,2,1,17,23)
NO. 139	(0,2,1,16,23)
NO. 140	(0,1,1,16,24)
NO. 141	(1,1,1,16,23)
NO. 142	(0,2,1,17,24)
NO. 143	(0,2,1,16,24)
NO. 144	(0,1,1,16,25)
NO. 145	(1,1,1,15,22)
NO. 146	(0,2,1,17,23)
NO. 147	(0,2,1,16,23)
NO. 148	(0,1,1,16,24)
NO. 149	(1,1,1,16,23)
NO. 150	(0,2,1,17,24)
NO. 151	(0,2,1,16,24)
NO. 152	(0,1,1,16,25)
NO. 153	(1,1,1,14,23)
NO. 154	(0,2,1,16,24)
NO. 155	(0,2,1,15,24)
NO. 156	(0,1,1,15,25)
NO. 157	(1,1,1,15,24)
NO. 158	(0,2,1,16,25)
NO. 159	(0,2,1,15,25)
NO. 160	(0,1,1,15,26)
NO. 161	(1,1,1,14,22)
NO. 162	(0,2,1,14,23)
NO. 163	(0,2,1,15,23)
NO. 164	(0,1,1,16,24)
NO. 165	(1,1,1,13,23)
NO. 166	(0,2,1,14,24)
NO. 167	(0,2,1,15,24)
NO. 168	(0,1,1,14,25)
NO. 169	(1,1,1,15,23)
NO. 170	(0,2,1,15,24)
NO. 171	(0,2,1,16,24)
NO. 172	(0,1,1,16,25)
NO. 173	(1,1,1,14,24)
NO. 174	(0,2,1,15,25)
NO. 175	(0,2,1,16,25)
NO. 176	(0,1,1,15,26)
NO. 177	(1,1,1,15,23)
NO. 178	(0,2,1,15,24)
NO. 179	(0,2,1,16,24)
NO. 180	(0,1,1,16,25)
NO. 181	(1,1,1,14,24)
NO. 182	(0,2,1,15,25)
NO. 183	(0,2,1,16,25)
NO. 184	(0,1,1,15,26)
NO. 185	(1,1,1,14,24)
NO. 186	(0,2,1,15,25)
NO. 187	(0,2,1,15,25)
NO. 188	(0,1,1,15,26)
NO. 189	(1,1,1,14,25)
NO. 190	(0,2,1,15,26)
NO. 191	(0,2,1,15,26)
NO. 192	(0,1,1,14,27)
NO. 193	(1,1,1,13,22)
NO. 194	(0,2,1,13,23)
NO. 195	(0,2,1,15,23)
